# dates,infections,hospitalizations,deaths,mean_r_t
2020-08-15,269319.60619154066,125154.0,1043.3017383704266,0.9383335900334843
2020-08-16,265844.58082917874,123767.0,1034.4460223018996,0.9378932775697155
2020-08-17,262390.8642044189,122381.0,1025.2935622924165,0.9374584528705917
2020-08-18,258959.08113703717,120997.0,1015.8890202934986,0.9370290769266982
2020-08-19,255549.82968711658,119616.0,1006.2718904698409,0.9366051129516075
2020-08-20,252163.6815427802,118238.0,996.4770781209618,0.9361865255404638
2020-08-21,248801.18236980942,116863.0,986.5353992881396,0.935773280056831
2020-08-22,245462.85215407787,115491.0,976.4740095143256,0.9353653421886693
2020-08-23,242149.18556435543,114124.0,966.3167755826084,0.9349626776296347
2020-08-24,239100.0141748558,112762.0,956.0846065309715,0.9355018172459659
2020-08-25,236070.1180737159,111405.0,945.7957570242252,0.9360463127941797
2020-08-26,233071.09942044743,110053.0,935.466110383664,0.9365957550951698
2020-08-27,230114.37239268387,108706.0,925.1094439159262,0.9371501320193559
2020-08-28,227222.80261302268,107366.0,914.7376765003919,0.9377094125637472
2020-08-29,224419.7345865654,106031.0,904.3610981849156,0.9382735469674529
2020-08-30,221685.62640339162,104704.0,893.9885819307146,0.9388424478183076
2020-08-31,219005.67422974523,103383.0,883.6277778363316,0.9394159889773691
2020-09-01,216379.11416673986,102070.0,873.2852902077037,0.9399940755952746
2020-09-02,213806.00820218356,100764.0,862.9668378577708,0.9405766365414809
2020-09-03,211293.81359484338,99465.0,852.6773980145624,0.9411636014817368
2020-09-04,208841.30523772392,98175.0,842.4213339084546,0.9417548995190677
2020-09-05,206444.1682448534,96892.0,832.2025056181761,0.9423504469973657
2020-09-06,204099.36707818182,95626.0,822.0243636854353,0.9429501617446467
2020-09-07,201805.59971182342,94377.0,811.8900257121678,0.9435539681915811
2020-09-08,199563.49287306546,93145.0,801.8023373255511,0.9441617953012474
2020-09-09,197372.9739035148,91930.0,791.7670444907349,0.9447735737294464
2020-09-10,195232.68871083445,90734.0,781.7922794143083,0.9453892326380586
2020-09-11,193141.06573391682,89560.0,771.8882665567202,0.9460087008503466
2020-09-12,191096.8007984325,88408.0,762.067214117046,0.9466319089845061
2020-09-13,189099.17558941653,87281.0,752.3403887395218,0.9472587898316914
2020-09-14,187147.6126762025,86179.0,742.716009899636,0.9478892779280251
2020-09-15,185241.31450743615,85102.0,733.2033852658325,0.9485233085909716
2020-09-16,183379.31599734136,84053.0,723.8127309976193,0.9491608176923282
2020-09-17,181560.6452262237,83024.0,714.551588645218,0.9498017420341096
2020-09-18,179784.4634376657,82017.0,705.4276581823708,0.9504460196391462
2020-09-19,178050.03972151206,81032.0,696.4481999519223,0.951093589773974
2020-09-20,176356.64884801503,80070.0,687.6171415697112,0.9517443927363196
2020-09-21,174703.53297843473,79129.0,678.938693153146,0.9523983696834096
2020-09-22,173089.9212577819,78210.0,670.4168378800737,0.9530554626310904
2020-09-23,171515.0718331139,77310.0,662.0553363514766,0.9537156145174843
2020-09-24,169978.28700257448,76431.0,653.8543221629502,0.9543787692339106
2020-09-25,168478.89680834947,75571.0,645.8137192000306,0.9550448715848044
2020-09-26,167016.24131927083,74731.0,637.9334050426532,0.9557138672215285
2020-09-27,165589.6666278541,73910.0,630.2131736681091,0.9563857026034086
2020-09-28,164198.53256587446,73108.0,622.6524364604583,0.9570603249884733
2020-09-29,162842.22012024463,72324.0,615.2499577449338,0.9577376824308369
2020-09-30,161520.1312044248,71557.0,608.0040958523955,0.958417723764818
2020-10-01,160231.68423735883,70809.0,600.9130637049774,0.9591003985761895
2020-10-02,158976.3109386687,70077.0,593.9749894479745,0.959785657173505
2020-10-03,157753.45648986055,69363.0,587.1879428279974,0.9604734505666805
2020-10-04,156562.5813062676,68665.0,580.5498441103107,0.9611637304508147
2020-10-05,155403.16181377394,67983.0,574.0584766875222,0.9618564491895292
2020-10-06,154274.68971852065,67317.0,567.711549772531,0.9625515597950599
2020-10-07,153176.6708234738,66667.0,561.5067490461716,0.9632490159067859
2020-10-08,152108.62441879947,66032.0,555.4417590516194,0.9639487717707779
2020-10-09,151070.08334271904,65413.0,549.5142307079916,0.9646507822211591
2020-10-10,150060.59414352308,64808.0,543.7217807874391,0.9653550026623148
2020-10-11,149079.71693296244,64217.0,538.0620064066691,0.9660613890507908
2020-10-12,148127.0249796647,63641.0,532.5325020936832,0.9667698978767132
2020-10-13,147202.1043114825,63079.0,527.1308945029557,0.9674804861452644
2020-10-14,146304.55348345905,62531.0,521.8548617433362,0.9681931113586627
2020-10-15,145433.98345434447,61996.0,516.7021015204848,0.9689077314986428
2020-10-16,144590.01744478534,61475.0,511.67033432524477,0.969624305009152
2020-10-17,143772.29072572265,60967.0,506.7573348621489,0.9703427907790829
2020-10-18,142980.45037567185,60471.0,501.9609146991797,0.9710631481250688
2020-10-19,142214.1550635359,59988.0,497.2789291840208,0.971785336774477
2020-10-20,141473.07487158594,59517.0,492.70930008815156,0.9725093168486482
2020-10-21,140756.8911354567,59059.0,488.2499882555567,0.9732350488463463
2020-10-22,140065.29627727854,58613.0,483.8989981410052,0.9739624936273552
2020-10-23,139397.99362933543,58178.0,479.65437870969777,0.974691612396189
2020-10-24,138754.69726051152,57755.0,475.51425007037386,0.9754223666859351
2020-10-25,138135.13181513693,57344.0,471.4767775211302,0.9761547183422495
2020-10-26,137539.03236343805,56943.0,467.5401701011098,0.9768886295075018
2020-10-27,136966.14425744498,56554.0,463.7026806333255,0.9776240626050481
2020-10-28,136416.22298866333,56176.0,459.96260782813926,0.9783609803236215
2020-10-29,135889.03404860935,55808.0,456.31829810614823,0.9790993456018249
2020-10-30,135384.35279505677,55451.0,452.7681434433387,0.9798391216127298
2020-10-31,134901.96432520886,55104.0,449.3105789432209,0.9805802717485796
2020-11-01,134441.66335490334,54768.0,445.9440818751,0.981322759605585
